GENE,Human,Chimpanzee,Gorilla,Macaque,Marmoset,Mouse Lemur,Rat,Mouse,Rabbit,Cow,Pig,Cat,Microbat,Horse,Opossum,Platypus,Chicken,Zebra Finch,Chinese softshell turtle,Anole lizard,Xenopus,Medaka,Tetraodon,Fugu,Cod,Zebrafish,Spotted gar,Lamprey,C.savignyi,C.intestinalis,Fruitfly,C. elegans,S. cerevisiae
JAZF1#ENSG00000153814,100,100,100,85.6,100,87.2,99.6,99.6,83.5,74.1,74.5,73.7,74.5,85.2,84,79.8,98.4,98.4,84.8,83.5,73.3,80.2,87.7,87.7,67.1,89.7,96.3,0,0,0,48.6,0,25.5
FOXJ1#ENSG00000129654,100,99.8,99.5,99.3,97.1,96.2,0,92.6,94.1,95.7,95,95,93.8,95.2,88.4,81,66.5,44.9,65.3,62.9,63.2,42.8,49.2,50.1,35.2,52.7,59.9,43.5,0,0,0,0,20.2
RFX3#ENSG00000080298,100,0,99.9,93.1,99.9,99.7,99.3,98.9,99.3,94.4,30.4,99.2,94,99.3,98.1,86.2,96.4,96.3,91.7,96.3,90.8,0,0,0,0,0,83.4,0,0,0,0,0,8.3
HSF2#ENSG00000025156,100,95.1,99.3,99.8,98.7,97.6,89.9,90.1,97.4,92.7,90.5,87.9,92.9,89.9,83.8,61.6,78.5,74.3,73.9,74.4,63.2,50.2,0,0,42.9,50.6,53,0,0,0,0,0,18.3
FOXK1#ENSG00000164916,100,99.7,0,93.3,74.4,87,77.1,88.8,76.7,81.9,77.6,67.9,66.7,68.5,77.5,83.9,77.5,62.5,61.4,59.3,0,0,0,0,0,61.4,0,0,29.6,30.2,29.3,0,13.9
EGR2#ENSG00000122877,100,100,99.8,87.2,98.5,84.2,88.9,88.7,92.9,94.3,96,93.9,0,96,66.4,0,67.9,0,0,57.1,63.2,58.8,37,59.2,59,60.7,62.6,28.4,0,0,0,25.6,10.1
NFXL1#ENSG00000170448,100,99.2,90.6,25.2,95.5,81.6,87.6,88.5,93.2,92.3,85.2,91.8,84.5,92.1,83,46.9,74.6,71.8,73.8,73.8,67.5,0,54.3,23.9,51.3,59.4,68.7,45,42.9,43.1,37.5,0,21.6
ONECUT3#ENSG00000205922,100,0,77.1,0,0,72.5,53.2,92.1,0,49,75.5,0,0,0,61.7,37.7,57.5,53.8,0,0,60.3,58.1,53.6,53.4,55.9,58.9,59.5,27.9,40.7,0,40.1,33.2,9.3
GATA5#ENSG00000130700,100,99.7,97.7,76.6,68,79.1,77.6,76.8,0,77.6,79.3,47.1,64,33.8,67,66.2,63.5,39.5,64.2,62.5,38.8,34.5,51.9,32,46.6,55.2,49.4,22.7,0,0,34,0,21.2
BAZ2A#ENSG00000076108,100,99.6,99.5,98.4,96.2,93,71.1,83.9,86,90.7,90.9,92.2,36.3,90.2,0,31.4,55.1,0,0,57.5,43.9,40.9,39.7,40.8,36.4,41.1,44.9,0,0,8.7,23.8,14.9,3.7
ZXDA#ENSG00000198205,100,98.5,76.1,92.9,92.4,87.1,0,80.6,83.6,83.6,85.4,80.5,55.4,0,54.7,35.4,50.9,46.7,35,47.9,42.7,21,26.7,35.9,35.8,38.4,46.1,22.9,0,0,7,0,8.9
ZXDB#ENSG00000198455,100,97.1,98.1,95.4,94.3,89,0,82.2,85.1,85.8,87.4,81.9,56.2,0,54.5,35.7,51.2,46.5,35.1,48.1,42.5,20.9,26.8,36.1,35.6,38.2,46,22.9,0,0,7.1,0,9
MEIS3#ENSG00000105419,100,93.6,67.2,86.5,76,82.9,81,80,77.9,79.6,80.3,82.7,0,85.3,0,37.8,0,0,34.7,0,0,55.1,53.7,53.9,54.4,56.5,51.5,0,46.8,46.6,49.2,39.7,13.5
DRAP1#ENSG00000175550,100,97.6,93.2,99.5,97.1,95.6,93.7,93.2,85.4,92.7,92.7,95.6,83.4,95.1,0,52.2,0,0,33.2,0,41.5,71.7,0,73.2,70.2,72.2,36.1,62.4,44.4,42,43.4,23.9,19.5
KLF4#ENSG00000136826,100,100,99.8,99.4,97.5,94.2,91.6,91.4,45.5,94.4,95.4,95.4,94.2,93.7,78.5,55.5,48.4,42.8,28.2,61.8,49.5,41.8,42,42.4,42.2,33.8,45.1,12.7,25.7,26.5,0,18,8.4
SRCAP#ENSG00000080603,100,99.5,93,97.9,95.4,91.2,82.3,81.2,85.7,92.4,92,88,90.5,70.7,71.2,3.3,0,0,46.8,18.9,27.6,33.9,34.1,35.3,32.1,37,33.2,25.6,17.4,16.5,25.5,20.3,13.8
RFX1#ENSG00000132005,100,99.9,99.5,99.1,68.8,91,92.1,91.5,38.4,67.7,94.9,88.3,85.9,77.8,75.4,48.6,0,0,70.2,79.4,67.7,53.1,57.9,59.8,56.6,59.8,41.8,40.6,0,0,0,0,7.8
KLF8#ENSG00000102349,100,100,98.6,97.2,94.2,85,82.7,82.7,92.2,62.4,71.9,81.3,86.4,87.7,53.8,58.5,14.8,27.3,0,54.6,51.8,45.4,45.7,48.5,0,47.6,51.8,22,26.2,27.3,29.5,0,11.1
KLF7#ENSG00000118263,100,100,100,99.3,99.7,98.3,67.2,96.7,98,97,84.4,97.4,98,97.7,94.7,80.1,85.8,85.4,84.8,81.1,77.5,54,55,64.6,48.3,66.9,0,53.3,44,45.4,47.4,0,13.6
CUX2#ENSG00000111249,100,90.5,73.4,95.6,89,87.5,79.9,80.2,82,92.7,86.3,84.1,91.3,21.7,82.7,73.4,68,46.9,64.7,69.5,63.1,52.2,53.2,57.3,47.4,52.1,63.7,0,0,0,26.7,20.5,10.3
CUX1#ENSG00000257923,100,99.5,65.1,94.3,98,91.5,88.1,88.1,73.5,87.1,69.1,75.1,79.5,0,80.3,16.8,14.2,77,78.4,78.8,73.7,0,54.6,54.7,47.6,60.8,71.4,0,0,0,26.5,23,10.8
ZNF710#ENSG00000140548,100,99.1,99.5,97.9,97.9,94.4,92.6,92.5,93.1,94.4,95.9,94,59.3,87.3,80.9,0,61.1,28.3,0,67.8,70.3,52.6,49.7,52.7,43.8,52.9,55.6,0,0,0,10.8,0,5.1
SRF#ENSG00000112658,100,90.7,67.7,98.6,99.4,98.2,96.7,96.5,96.1,98,97.4,82.5,52.8,72.4,91.1,0,78.3,59.1,0,75,71.7,63.2,52,53.3,32.9,58.5,70.1,0,24.6,27.2,31.3,23.8,18.9
KLF3#ENSG00000109787,100,100,100,100,99.4,96.8,95.9,95.4,98.3,97.4,96.2,97.4,96.2,97.4,89.6,44.1,80.9,82.3,80.9,72.8,70.4,43.8,31.6,45.2,33.9,38.8,49.9,25.8,27.2,29,27.2,0,12.5
NFYC#ENSG00000066136,100,77.3,99.6,96.3,53.7,95,72.7,72.7,72.3,72.5,72.5,71.6,72.3,72.7,70.3,71,68.8,69,70.7,68.8,66.2,62.9,63.1,62.9,62.4,64,65.1,0,0,23.8,25.3,11.1,14.8
GTF2B#ENSG00000137947,100,100,100,100,100,99.7,94.3,97.8,0,100,98.7,94.3,99.1,98.1,98.7,83.9,97.8,97.2,96.2,97.2,95.3,94.3,93.4,93,94.6,94,93.7,0,71.5,72.8,79.1,59.5,33.2
TEAD1#ENSG00000187079,100,96.5,96.5,96.5,96.5,96.2,96,95.8,100,84.5,83.3,78.2,83.6,96.5,95.1,38.3,94.1,98.1,83.3,93.9,0,89.4,89.7,89.9,89.7,86.9,94.1,0,70.4,55.9,63.4,38.5,19.7
GATA1#ENSG00000102145,100,0,99.8,98.1,0,69.2,86.2,86,95.4,92.7,94.4,96.1,56.4,0,63,33.4,40.4,0,0,37.5,36.8,38.7,38,38.5,37.8,38.5,40.9,0,34.6,33.7,32.9,28.1,18.4
NME2#ENSG00000243678,100,77,94.1,0,0,96.1,98,98,98.7,70.4,91.4,50.7,72.4,0,73.7,92.8,78.9,82.9,86.8,85.5,86.2,55.9,0,72.4,0,86.8,88.8,0,0,0,0,68.4,60.5
EGR3#ENSG00000179388,100,100,87.6,0,100,0,98.7,99,87.3,99,86.8,99.5,98.7,99.2,74.2,63,80.4,0,62,0,68.2,68.5,66.9,68.5,69.3,69,70.3,32.6,0,0,0,29.2,12.4
ONECUT1#ENSG00000169856,100,99.4,99.4,81.3,81.9,0,99.4,98.9,98.7,98.9,99.1,99.6,99.1,84.1,93.1,16.6,83,91.4,90.3,0,86.9,73.8,69.5,57.4,64.7,83,84.7,0,46.7,0,46.2,36.8,10.3
GATA2#ENSG00000179348,100,100,99.8,97.7,99.6,0,97.5,97.9,99.6,95.6,99,98.5,98.3,99,91.3,31.5,86.7,46.9,87.1,74.8,83.3,70.6,71.7,72.9,67.9,71.5,77.5,0,39.6,38.8,36.7,26,16.5
RFX7#ENSG00000181827,100,99.8,96.7,99,92.7,95.8,92.9,92.7,94.9,93.5,91.5,93.5,86.9,94.4,85.6,75.1,73.9,78.6,78.1,62.4,70.7,52.3,51.4,53.3,38.5,55.5,63.2,0,0,0,15.3,0,9.8
BAZ2B#ENSG00000123636,100,99.6,90.9,98.9,97.5,96.8,85.3,83.4,90.7,95.1,87.3,95.7,95.1,95.2,89.1,88.9,79.3,77.7,85,82.4,70.7,49.2,45.8,50,16.8,53,68.9,31.4,3.7,5.4,25.7,13.9,4
PIN1#ENSG00000127445,100,100,78.5,93.9,81,81.6,95.7,95.1,0,97.5,97.5,98.8,95.1,86.5,68.1,0,69.3,0,79.8,0,74.2,69.9,0,72.4,76.1,69.3,80.4,62,49.7,0,56.4,56.4,45.4
XPA#ENSG00000136936,100,99.6,99.6,97.4,96.7,91.6,71.4,84.6,12.1,91.6,91.2,45.1,90.1,75.1,80.6,24.2,66.3,59.3,65.9,71.1,57.5,59.3,61.2,59.3,56.8,58.6,66.3,44,45.4,45.4,44,33.3,28.6
TRPS1#ENSG00000104447,100,99.8,99.5,98,93.1,96.3,92.1,92.4,95.3,95.3,91.7,95.9,93.2,96.7,91.3,86.6,71.6,86.2,71.1,81.8,75.5,39.4,20.2,39.9,31,50.9,67.5,13.7,0,0,8.3,5.3,7.7
MECOM#ENSG00000085276,100,94.1,98.8,98.6,98.8,98.1,87.7,59.4,92.7,91.4,88.8,97.9,92.5,92,82.8,92.7,91,85.2,84.1,84.2,69,63,19.5,56.5,63.4,35.1,74.7,11.4,5.9,3.7,25.2,14.3,10.5
SETDB1#ENSG00000143379,100,89.2,99.9,99.4,98.8,97.1,91.6,91.9,94.7,96.5,95.9,95.9,94.6,97.3,87.3,12.1,74.9,70.3,48.2,61.1,71.1,57.9,56,56.2,54.3,56,9.4,50,16.5,26.4,29,18.7,4.6
FOXP4#ENSG00000137166,100,97.8,99.7,99.1,98.1,97.2,91.5,93.1,0,94.3,95.3,89.3,0,96.3,0,18.1,80.1,72.8,78.8,71.8,71.9,70.9,60.7,71.6,66,72.4,72.8,0,36.3,36.2,26.2,28.5,13.5
KDM2B#ENSG00000089094,100,99.9,93.5,99.1,93.9,94.1,76.6,92.1,94.2,93.9,75.4,90.4,93.1,90.8,40.3,54.2,43.1,71,81.7,77,73.4,63.5,27.2,62.6,50.4,62.4,71.7,0,29.3,27.5,33.6,0,10.1
CEBPZ#ENSG00000115816,100,98.7,99.2,96,94.3,88.9,81.4,81.7,86.6,85.1,85.9,85.9,86.3,87.2,73.1,65.8,63.9,64.4,66.9,63.8,56.6,54.1,0,54.4,51.9,53.9,58.5,4.8,12.2,21,27.7,26.3,25.7
ONECUT2#ENSG00000119547,100,74,63.3,95.2,82.1,95.2,92.1,98.4,56.9,67.9,68.7,81.3,80.4,73.8,90.7,65.7,69.8,63.3,57.5,74.4,41.3,0,48.6,69.4,46.4,70.8,77.4,0,43.8,0,42.5,35.7,10.5
NFX1#ENSG00000086102,100,100,99.7,98.1,94.4,91.7,88.3,88.2,87.4,90.6,33.8,62.4,89.9,51.3,70.7,56.3,50.5,46.8,63.1,57.2,57.4,0,6.2,46.3,42.9,48.8,51.3,39.6,34.6,35.4,31.8,30.2,21.6
ZNF501#ENSG00000186446,100,99.6,0,97,95.6,92.3,0,0,0,53.5,89.7,0,0,0,0,45,0,0,51.7,0,0,49.1,35.4,41.7,0,50.2,49.1,24.7,0,35.8,36.9,0,33.2
ZNF662#ENSG00000182983,100,85.8,0,94.9,63.1,74.8,0,0,0,0,65.7,0,0,76.5,40.3,0,0,0,38.7,0,0,27.4,22.3,25.4,0,28.3,33.6,13.3,0,20.8,21.5,0,21.7
ANKZF1#ENSG00000163516,100,99.3,0,94.2,93.4,86.1,79.2,78.4,78.7,79.5,81.5,82.9,80.6,84.4,58.4,0,42.7,41.6,20.7,43.4,33.7,42,40.4,41,38.8,41.2,42.7,0,27.8,29.2,0,22.3,20.1
ZNF3#ENSG00000166526,100,79.6,0,96,98,95.5,84.5,83.9,73.5,90.8,35,94.2,93,93.3,83.4,0,0,0,43.9,0,0,30,23.5,25.8,0,32.5,38.3,15,0,20.9,23.3,0,23.5
ZNF286A#ENSG00000187607,100,0,0,97.9,95.4,90.8,82,81.2,89.3,87.7,70.6,89.1,89.4,92.5,69.1,0,0,0,36.7,0,0,31.3,19.8,22.6,0,28.4,37.4,12.3,0,19.6,21.3,0,20.5
FOXH1#ENSG00000160973,100,99.5,98.1,97,92.9,84.9,76.7,77.3,76.7,82.2,81.9,82.2,60.3,85.8,60.5,0,0,0,0,28.2,37.8,35.3,36.7,35.3,21.4,34.2,36.4,0,20.8,21.4,0,0,17.5
ZNF286B#ENSG00000249459,100,86,76.6,85.4,83.3,79.3,72.2,71.5,78.5,76.8,69.2,77.8,78.2,81.6,60,0,0,0,31.8,0,0,30.5,19.7,22.6,0,27.2,36.6,12.3,0,19.2,20.5,0,19.5
FOXF1#ENSG00000103241,100,99.7,53.3,0,99.2,91.3,93.1,93.4,95,96.8,0,91.3,0,16.1,0,68.9,87.6,79.9,0,50.1,76.8,76.8,77.3,76.5,75.7,76.5,77,26.9,42,40.9,27.7,0,15.3
PKNOX1#ENSG00000160199,100,100,100,93.6,94.7,97.5,95.9,96.1,70,94.7,0,95.6,94.7,95.6,82.3,95.6,93.6,94.3,93.6,82.3,33.7,69.7,71.8,70.6,71.6,71.3,81,30.7,39.9,41.1,0,0,11.9
FOXP1#ENSG00000114861,100,95.2,88.3,88.3,95.2,96.5,92.5,92.4,93.4,92.9,62.5,81.1,79.4,93.8,89.3,77.6,89.9,90.8,87.9,87.3,65.4,59.5,63.9,67.5,54.4,71.7,72.3,17.7,0,0,27.3,27.6,12.3
FOXK2#ENSG00000141568,100,97.7,74.1,70.2,76.5,87.7,57.4,93.2,71.1,68.2,93.2,73.5,73,73.8,78.5,15.6,85,49.4,70.6,83.9,77.9,54.5,66.1,67.4,63.8,69.5,81.4,44.5,0,0,31.7,0,17.1
WT1#ENSG00000184937,100,73.1,94.6,95,97.1,94.8,84.7,92.6,74.9,73.3,85.7,84.9,79.5,57.3,77.8,47.2,73.9,73.3,72.7,50.7,59,63.1,56.3,50.9,53.2,62.3,64.8,33.7,0,17.4,18.6,16.1,8.1
PKNOX2#ENSG00000165495,100,93.9,66.1,99.8,99.4,85.8,94.7,98.9,99.4,98.5,99.2,98.7,91.5,99.4,98.3,40.5,84.7,84.7,94.1,88.6,87.7,0,73.7,77.3,72.2,79,82.6,45.3,40.5,40.7,0,0,12.3
NFYB#ENSG00000120837,100,0,83.6,99,100,99.5,99,99,99.5,99,99.5,97.6,96.1,99,89.9,97.6,96.6,97.6,95.2,96.1,91.8,81.6,80.7,81.2,67.1,81.2,84.1,73.9,46.9,51.7,35.3,36.7,32.9
HSF1#ENSG00000185122,100,0,82.6,98.5,97.5,90,89,85.1,81.7,88.5,86.8,89.8,90,88.8,76.2,51.6,21.9,20.8,21.6,66.5,62.2,51.2,50.9,50.1,40.3,57.8,58.8,24,19.5,0,24.4,23.6,19.1
FOXM1#ENSG00000111206,100,0,98.6,94.8,91.1,75.7,77.7,76,79.2,74.3,78.4,79.7,78.5,80.1,42.7,16.9,50.8,50.4,48.3,44.3,39.2,34.7,30.5,32,30.1,36,37.6,5.4,20.6,21.7,0,7.7,10.6
EGR1#ENSG00000120738,100,0,99.6,99.6,96.9,95.9,92.3,91.5,92.8,94.3,95.6,95.6,94.8,96.5,0,0,70.3,69.1,70.9,0,68.9,53.2,56.4,61,51.6,60.2,62.2,19.5,0,0,0,21,10.9
KLF5#ENSG00000102554,100,99.1,99.3,86.2,98.2,95.4,90.6,89.3,93.7,95,47.5,79.2,85.6,79.2,81,22.1,81.4,83.6,70.5,71.8,69.6,43.1,36.1,42.9,38.1,51.6,58,0,26,26.9,29.1,21.2,8.8
MYBL1#ENSG00000185697,100,99.7,99.1,98.8,85.8,93.6,90.4,90.6,94.1,83.8,39.5,94.4,93.2,93,90.8,12.6,78.3,73.8,83.1,75.4,55.3,46.4,48.4,50.5,44.4,53.1,54.4,40.3,0,26.9,26.2,0,9.3
ARHGAP35#ENSG00000160007,100,99.5,99.6,99.7,99.5,95.9,95.5,97.8,89.6,98.1,96.7,98.8,98,97.3,94.9,65.5,81.3,36.6,92.2,92,77.2,66.2,66.9,68,65,69.7,72.3,4,0,0,31,0,13.4
KDM5B#ENSG00000117139,100,99.3,80.3,98.9,96.2,95.3,91.3,92.1,91.2,86.2,78,91.2,84,90.8,88.4,87.7,79.1,78.3,70.9,79.1,68.8,60.9,58.9,59.5,57.4,60.6,68.4,0,40.6,35.3,41.7,0,13.4
SGSM2#ENSG00000141258,100,99.2,99.3,96.5,76.5,93.9,93.3,88.8,93,88.2,75,86.8,83.2,92,85.5,79.1,79.8,74.1,75.7,73.5,66.5,62.9,70.9,63,61.8,72.2,70.7,14.5,42.2,44,49.1,28.8,13.6
GATA3#ENSG00000107485,100,99.8,99.5,78.4,56.3,86,96.4,96.4,97.7,96.2,83.6,80.2,97.3,86,97.1,82,92.3,89.6,89.9,75.9,80,72.1,62.4,77.9,63.7,79.3,84.5,32,40.5,41.4,39,27,18
RFX4#ENSG00000111783,100,97.6,99.2,96.9,81.9,96.9,86.7,94.8,96.4,81.7,84.1,91.9,94.9,96.4,84.4,94.2,91.9,93,93.4,89.8,69.6,82.5,82.3,82.9,81.3,82.3,85.8,23.8,22.3,22,22,21.5,7.8
TBPL1#ENSG00000028839,100,100,100,100,100,100,100,100,100,100,100,100,100,99.5,98.9,96.2,96.2,97.3,97.8,97.3,92.5,76.3,64,57,76.3,78.5,82.3,74.7,51.1,50.5,55.4,37.1,36.6
CDC5L#ENSG00000096401,100,95.5,100,99.8,99.5,98.1,97.9,98,99.1,98.9,98.5,99,98,98.9,95.4,93.9,91.5,91,92.4,90.8,77.6,76.2,75.4,76.2,76.2,84,86.2,77.7,60,61,63.5,46.5,26.2
NFYA#ENSG00000001167,100,100,89.6,100,100,100,100,99.7,100,97.7,98,99.7,97.7,100,97.1,94.5,76.9,97.7,97.1,93.9,84.4,80.7,81.6,79,80.1,81,88.2,67.4,31.4,31.7,32,23.9,21
MEF2A#ENSG00000068305,100,95.6,91.7,91.7,89.5,95.8,88.7,94.7,82.8,86.9,80.8,94.7,84.2,94.9,92.1,93.1,90.1,87.5,87.7,86.9,73.5,68.5,53.5,68.9,64.4,70.9,72.5,0,14.5,32.9,33.1,25.3,12.5
KIN#ENSG00000151657,100,100,90.8,98.7,99,88.5,93.4,92.4,96.2,97.2,0,95.4,95.4,95.7,90.6,89.6,88.5,86.8,78.1,76.8,64.1,75.8,61.1,72.5,72.5,75.6,79.1,44.8,58.3,62.1,51.9,48.9,18.6
MEIS1#ENSG00000143995,100,100,97.4,96.4,96.9,96.4,99.5,96.9,100,100,17.7,96.4,96.4,96.9,96.9,89.7,96.7,72.8,97.9,92.3,95.1,85.9,59,93.1,0,94.4,92.8,29.2,59.5,58.2,61.5,46.2,15.6
GATA4#ENSG00000136574,100,60,74.5,91.4,75.6,89.4,93.5,93.2,95.3,94.8,93.9,50.3,50.6,51,85.3,36.1,68.6,64.1,45.8,63.4,62.1,53.3,49.9,52.6,50.3,49,51.2,22.8,0,0,33.4,0,17.2
PRDM16#ENSG00000142611,100,95.1,98.3,85.5,51.8,76.7,75.9,88.2,59.5,77.6,66.1,71.2,0,80.5,69.7,43.3,75.5,77.6,74.5,53.8,66.8,56.7,56.1,56.8,52.4,66.5,70.5,9.5,5.1,3.4,21.9,13.6,9
TEAD3#ENSG00000007866,100,68.5,97.5,99.1,97.5,97.7,82.8,97,84.8,98.9,99.3,99.5,0,97.9,80.7,67.4,67.8,83,83.2,88.3,0,77.5,78.9,78.4,71.7,76.3,81.4,0,0,0,59.1,39.8,19.8
TGIF2#ENSG00000118707,100,100,99.6,99.2,99.2,97,94.5,93.7,94.9,92.8,0,96.6,96.6,97.5,75.1,62.9,64.6,43.5,65.8,63.3,50.2,47.7,46.8,50.2,48.1,0,51.9,0,0,0,35.9,0,16
TGIF1#ENSG00000177426,100,98.8,98.8,65.3,85.3,71.6,59.9,61.3,64.8,57.4,63.3,62.6,64.1,63.6,61.3,56.9,53.4,52.6,53.1,48.6,49.4,43.4,40.1,41.9,38.7,42.9,42.1,0,0,0,24.4,0,11.7
CENPA#ENSG00000115163,100,89.3,88.6,71.4,65,70,63.6,65,74.3,75,73.6,74.3,0,75,54.3,58.6,52.9,32.9,0,55.7,54.3,0,47.1,0,38.6,0,50.7,0,34.3,35,0,37.9,40.7
FOXF2#ENSG00000137273,100,98.9,83.6,93,77.5,94.6,0,93.5,88.5,74.8,76.8,84,90.1,0,34.5,59.5,68.7,0,70,60.1,68.2,0,0,0,0,0,0,1.4,40.3,39.6,27.5,0,13.5
ZXDC#ENSG00000070476,100,99.4,97.9,89.9,60.8,0,75.2,74.8,63.5,58.2,65.2,63.3,32.9,64.8,58.3,30,52.8,51.6,40.2,49.7,47,28.1,24.8,41,40.7,43.5,49.1,21.9,0,0,6.6,0,7.8
HSF4#ENSG00000102878,100,99.4,98.2,98.8,88,93.7,85.4,85.8,93.7,91.3,89.8,81.3,86.2,93.9,49.2,16.9,46.3,42.7,30.9,32.1,42.1,28.5,25.2,23.2,26.2,29.9,38,19.9,18.3,0,20.9,24.2,17.7
RFX6#ENSG00000185002,100,99.5,97.4,96.8,97.1,0,70.9,87.4,90.9,91.6,0,86.3,91.6,91.1,83.4,37.5,76,73.8,77.4,70.8,69.9,42.8,57.9,59.1,53.4,63.4,67.9,18.9,19.1,18.5,18,15.4,8.4
KLF2#ENSG00000127528,100,98.9,0,95.5,87,0,87.6,87.6,0,0,0,0,0,33.8,72.1,41.1,60,59.4,56.3,0,52.4,52.1,52.1,52.1,48.5,49.3,51.5,17.2,29.9,29.3,0,23.7,11.3
ZNF771#ENSG00000179965,100,100,0,99.7,0,98.4,95.3,95.9,0,94.6,0,0,85.8,0,0,55.2,37.5,31.2,56.5,0,38.8,39.4,30.3,34.4,0,37.9,40.1,21.1,0,28.7,27.8,0,26.2
