gene_id_human	gene_name_human	gene_id_mouse	gene_name_mouse	mean_tpm_mouse
ENSG00000198429	ZNF69	ENSMUSG00000055150	Zfp78	90.87006670189676
ENSG00000186230	ZNF749	ENSMUSG00000055150	Zfp78	90.87006670189676
ENSG00000162714	ZNF496	ENSMUSG00000020472	Zkscan17	1278.7904669454667
ENSG00000171163	ZNF692	ENSMUSG00000037243	Zfp692	454.22672670956473
ENSG00000186487	MYT1L	ENSMUSG00000061911	Myt1l	1.9954412770838097
ENSG00000176887	SOX11	ENSMUSG00000063632	Sox11	176.39235775364833
ENSG00000134317	GRHL1	ENSMUSG00000020656	Grhl1	60.41774528047423
ENSG00000172059	KLF11	ENSMUSG00000020653	Klf11	554.7090137612616
ENSG00000169016	E2F6	ENSMUSG00000057469	E2f6	587.57644027894
ENSG00000134323	MYCN	ENSMUSG00000044597	Mycs	0.0
ENSG00000134323	MYCN	ENSMUSG00000037169	Mycn	1841.7406871528835
ENSG00000151379	MSGN1	ENSMUSG00000047002	Msgn1	0.0
ENSG00000143867	OSR1	ENSMUSG00000048387	Osr1	0.0
ENSG00000163792	TCF23	ENSMUSG00000006642	Tcf23	0.3452480562170967
ENSG00000163795	ZNF513	ENSMUSG00000043059	Zfp513	410.3578292185277
ENSG00000075426	FOSL2	ENSMUSG00000029135	Fosl2	32.228471381265734
ENSG00000115816	CEBPZ	ENSMUSG00000024081	Cebpz	2446.784201308267
ENSG00000138083	SIX3	ENSMUSG00000038805	Six3	0.0
ENSG00000170577	SIX2	ENSMUSG00000024134	Six2	0.997720638541909
ENSG00000116016	EPAS1	ENSMUSG00000024140	Epas1	2101.1548486368133
ENSG00000170802	FOXN2	ENSMUSG00000034998	Foxn2	973.6336705320173
ENSG00000119866	BCL11A	ENSMUSG00000000861	Bcl11a	6.2555248272497765
ENSG00000162924	REL	ENSMUSG00000020275	Rel	101.63289918611054
ENSG00000115507	OTX1	ENSMUSG00000005917	Otx1	45.816219243979866
ENSG00000143995	MEIS1	ENSMUSG00000020160	Meis1	26.629791180159234
ENSG00000059728	MXD1	ENSMUSG00000001156	Mxd1	124.75181502998667
ENSG00000183733	FIGLA	ENSMUSG00000030001	Figla	0.0
ENSG00000116035	VAX2	ENSMUSG00000034777	Vax2	304.05627143629334
ENSG00000135638	EMX1	ENSMUSG00000033726	Emx1	5.44871921468884
ENSG00000214513	NOTO	ENSMUSG00000068302	Noto	0.0
ENSG00000135625	EGR4	ENSMUSG00000071341	Egr4	0.5983440762522366
ENSG00000179528	LBX2	ENSMUSG00000034968	Lbx2	1.7503977450302666
ENSG00000115297	TLX2	ENSMUSG00000068327	Tlx2	2.1117507772105566
ENSG00000152284	TCF7L1	ENSMUSG00000055799	Tcf7l1	1539.0629683744335
ENSG00000168874	ATOH8	ENSMUSG00000037621	Atoh8	0.0
ENSG00000214336	FOXI3	ENSMUSG00000055874	Foxi3	15.068253012090757
ENSG00000196843	ARID5A	ENSMUSG00000037447	Arid5a	158.02681292011098
ENSG00000170485	NPAS2	ENSMUSG00000026077	Npas2	12.814593736444126
ENSG00000198914	POU3F3	ENSMUSG00000045515	Pou3f3	9.461520323002654
ENSG00000125618	PAX8	ENSMUSG00000026976	Pax8	4.5811741424382655
ENSG00000184492	FOXD4L1	ENSMUSG00000051490	Foxd4	0.5983440762522366
ENSG00000170122	FOXD4	ENSMUSG00000051490	Foxd4	0.5983440762522366
ENSG00000204779	FOXD4L5	ENSMUSG00000051490	Foxd4	0.5983440762522366
ENSG00000184659	FOXD4L4	ENSMUSG00000051490	Foxd4	0.5983440762522366
ENSG00000187559	FOXD4L3	ENSMUSG00000051490	Foxd4	0.5983440762522366
ENSG00000163064	EN1	ENSMUSG00000058665	En1	5.956352789123656
ENSG00000074047	GLI2	ENSMUSG00000048402	Gli2	2298.3920807397967
ENSG00000115112	TFCP2L1	ENSMUSG00000026380	Tfcp2l1	32619.34121125427
ENSG00000169554	ZEB2	ENSMUSG00000026872	Zeb2	2.838828885389596
ENSG00000153234	NR4A2	ENSMUSG00000026826	Nr4a2	11.476747020212777
ENSG00000136535	TBR1	ENSMUSG00000035033	Tbr1	1.6421407328851199
ENSG00000204335	SP5	ENSMUSG00000075304	Sp5	41.39231953556065
ENSG00000144355	DLX1	ENSMUSG00000041911	Dlx1	3.7078154920046997
ENSG00000115844	DLX2	ENSMUSG00000023391	Dlx2	2.2946133152099297
ENSG00000172845	SP3	ENSMUSG00000027109	Sp3	1986.56938487483
ENSG00000217236	SP9	ENSMUSG00000068859	Sp9	2.30266580319153
ENSG00000115966	ATF2	ENSMUSG00000027104	Atf2	1099.5123158948654
ENSG00000174279	EVX2	ENSMUSG00000001815	Evx2	0.0
ENSG00000128714	HOXD13	ENSMUSG00000001819	Hoxd13	12.50075825671936
ENSG00000170178	HOXD12	ENSMUSG00000001823	Hoxd12	0.29917203812611903
ENSG00000128713	HOXD11	ENSMUSG00000042499	Hoxd11	3.798525993822127
ENSG00000128710	HOXD10	ENSMUSG00000050368	Hoxd10	2.232432321155763
ENSG00000128709	HOXD9	ENSMUSG00000043342	Hoxd9	27.826479332663705
ENSG00000175879	HOXD8	ENSMUSG00000027102	Hoxd8	18.4556695114785
ENSG00000128652	HOXD3	ENSMUSG00000079277	Hoxd3	0.35330054419869333
ENSG00000128645	HOXD1	ENSMUSG00000042448	Hoxd1	0.0
ENSG00000116044	NFE2L2	ENSMUSG00000015839	Nfe2l2	3753.789134195947
ENSG00000162992	NEUROD1	ENSMUSG00000034701	Neurod1	25.91076555996177
ENSG00000115415	STAT1	ENSMUSG00000026104	Stat1	427.9663153975003
ENSG00000138378	STAT4	ENSMUSG00000062939	Stat4	137.6546688068921
ENSG00000119042	SATB2	ENSMUSG00000038331	Satb2	142.139424645109
ENSG00000138380	CARF	ENSMUSG00000026017	Carf	89.74882889140544
ENSG00000118263	KLF7	ENSMUSG00000025959	Klf7	127.115220292868
ENSG00000118260	CREB1	ENSMUSG00000025958	Creb1	821.5466837120238
ENSG00000030419	IKZF2	ENSMUSG00000025997	Ikzf2	41.3563708044173
ENSG00000163497	FEV	ENSMUSG00000055197	Fev	0.5983440762522366
ENSG00000135903	PAX3	ENSMUSG00000004872	Pax3	1.5960647147941465
ENSG00000168505	GBX2	ENSMUSG00000034486	Gbx2	22.308276570648303
ENSG00000144485	HES6	ENSMUSG00000067071	Hes6	168.16570232976332
ENSG00000233608	TWIST2	ENSMUSG00000007805	Twist2	0.5983440762522366
ENSG00000134107	BHLHE40	ENSMUSG00000030103	Bhlhe40	1192.7029501740801
ENSG00000132170	PPARG	ENSMUSG00000000440	Pparg	0.35330054419869333
ENSG00000177463	NR2C2	ENSMUSG00000005893	Nr2c2	615.7041664486957
ENSG00000182568	SATB1	ENSMUSG00000023927	Satb1	14.377756899656568
ENSG00000174738	NR1D2	ENSMUSG00000021775	Nr1d2	351.1301393482827
ENSG00000151090	THRB	ENSMUSG00000021779	Thrb	0.6444200943432157
ENSG00000077092	RARB	ENSMUSG00000017491	Rarb	1.54998869670317
ENSG00000163508	EOMES	ENSMUSG00000032446	Eomes	317.996965969474
ENSG00000153560	UBP1	ENSMUSG00000009741	Ubp1	1985.2449108089968
ENSG00000185219	ZNF445	ENSMUSG00000047036	Zfp445	831.8270490127393
ENSG00000196345	ZKSCAN7	ENSMUSG00000063488	Zkscan7	49.423830211821034
ENSG00000169981	ZNF35	ENSMUSG00000057895	Zfp105	277.50172994091866
ENSG00000012223	LTF	ENSMUSG00000032496	Ltf	0.29917203812611903
ENSG00000163666	HESX1	ENSMUSG00000040726	Hesx1	548.4778783481014
ENSG00000153266	FEZF2	ENSMUSG00000021743	Fezf2	0.0
ENSG00000187098	MITF	ENSMUSG00000035158	Mitf	945.3195085459492
ENSG00000114861	FOXP1	ENSMUSG00000030067	Foxp1	124.10435865041067
ENSG00000064835	POU1F1	ENSMUSG00000004842	Pou1f1	0.0
ENSG00000066422	ZBTB11	ENSMUSG00000022601	Zbtb11	12844.900395770166
ENSG00000114439	BBX	ENSMUSG00000022641	Bbx	427.42239397592795
ENSG00000181722	ZBTB20	ENSMUSG00000022708	Zbtb20	79.91357844514737
ENSG00000144852	NR1I2	ENSMUSG00000022809	Nr1i2	7.660674516062933
ENSG00000163848	ZNF148	ENSMUSG00000022811	Zfp148	1115.7781222742049
ENSG00000163884	KLF15	ENSMUSG00000030087	Klf15	545.9721115808239
ENSG00000179348	GATA2	ENSMUSG00000015053	Gata2	671.312301870099
ENSG00000168875	SOX14	ENSMUSG00000053747	Sox14	0.29917203812611903
ENSG00000183770	FOXL2	ENSMUSG00000050397	Foxl2	4.5811741424382655
ENSG00000114126	TFDP2	ENSMUSG00000032411	Tfdp2	1124.1403138366065
ENSG00000174963	ZIC4	ENSMUSG00000036972	Zic4	0.0
ENSG00000152977	ZIC1	ENSMUSG00000032368	Zic1	2.0034937650654103
ENSG00000168779	SHOX2	ENSMUSG00000027833	Shox2	0.0
ENSG00000085276	MECOM	ENSMUSG00000027684	Mecom	2.6859373895179997
ENSG00000085274	MYNN	ENSMUSG00000037730	Mynn	921.0976295479627
ENSG00000181449	SOX2	ENSMUSG00000074637	Sox2	8697.677011857646
ENSG00000244405	ETV5	ENSMUSG00000013089	Etv5	6581.59435607833
ENSG00000113916	BCL6	ENSMUSG00000022508	Bcl6	157.97139609617736
ENSG00000073282	TP63	ENSMUSG00000022510	Trp63	4.5892266304198595
ENSG00000114315	HES1	ENSMUSG00000022528	Hes1	1388.7292050358435
ENSG00000235608	NKX1-1	ENSMUSG00000029112	Nkx1-1	0.0
ENSG00000123933	MXD4	ENSMUSG00000037235	Mxd4	42.66275750343143
ENSG00000168826	ZBTB49	ENSMUSG00000029127	Zbtb49	157.21712423882101
ENSG00000163132	MSX1	ENSMUSG00000048450	Msx1	10.696232005616494
ENSG00000215612	HMX1	ENSMUSG00000067438	Hmx1	1.8952367529202665
ENSG00000109705	NKX3-2	ENSMUSG00000049691	Nkx3-2	0.0
ENSG00000178177	LCORL	ENSMUSG00000015882	Lcorl	215.4472031097117
ENSG00000168214	RBPJ	ENSMUSG00000039191	Rbpj	2018.7523688420235
ENSG00000109787	KLF3	ENSMUSG00000029178	Klf3	1192.25985178354
ENSG00000109132	PHOX2B	ENSMUSG00000012520	Phox2b	0.0
ENSG00000180613	GSX2	ENSMUSG00000035946	Gsx2	0.29917203812611903
ENSG00000134852	CLOCK	ENSMUSG00000029238	Clock	721.7673538509563
ENSG00000084093	REST	ENSMUSG00000029249	Rest	8666.909163239941
ENSG00000189308	LIN54	ENSMUSG00000035310	Lin54	638.3486296605876
ENSG00000163623	NKX6-1	ENSMUSG00000035187	Nkx6-1	1.2888401886864267
ENSG00000180346	TIGD2	ENSMUSG00000049232	Tigd2	604.5442911934404
ENSG00000172238	ATOH1	ENSMUSG00000073043	Atoh1	0.9435921324693334
ENSG00000109320	NFKB1	ENSMUSG00000028163	Nfkb1	598.532660039149
ENSG00000138795	LEF1	ENSMUSG00000027985	Lef1	18.4790295999892
ENSG00000178403	NEUROG2	ENSMUSG00000027967	Neurog2	0.29917203812611903
ENSG00000109381	ELF2	ENSMUSG00000037174	Elf2	973.4016605343687
ENSG00000170365	SMAD1	ENSMUSG00000031681	Smad1	411.49850382889264
ENSG00000151615	POU4F2	ENSMUSG00000031688	Pou4f2	9.664168281128367
ENSG00000151623	NR3C2	ENSMUSG00000031618	Nr3c2	16.339546690449467
ENSG00000164107	HAND2	ENSMUSG00000038193	Hand2	1.4051496888131734
ENSG00000168310	IRF2	ENSMUSG00000031627	Irf2	16.294912206723
ENSG00000187821	HELT	ENSMUSG00000047171	Helt	0.0
ENSG00000179059	ZFP42	ENSMUSG00000051176	Zfp42	2302.84806955982
ENSG00000063438	AHRR	ENSMUSG00000021575	Ahrr	66.54811074418163
ENSG00000113430	IRX4	ENSMUSG00000021604	Irx4	2.394817839373482
ENSG00000170561	IRX2	ENSMUSG00000001504	Irx2	10.163749367581566
ENSG00000170549	IRX1	ENSMUSG00000060969	Irx1	0.6524725823248123
ENSG00000016082	ISL1	ENSMUSG00000042258	Isl1	34.99482787482096
ENSG00000251493	FOXD1	ENSMUSG00000078302	Foxd1	4.3361306103847195
ENSG00000171540	OTP	ENSMUSG00000021685	Otp	0.0
ENSG00000164299	SPZ1	ENSMUSG00000046957	Spz1	0.0
ENSG00000081189	MEF2C	ENSMUSG00000005583	Mef2c	0.0
ENSG00000175745	NR2F1	ENSMUSG00000069171	Nr2f1	2.24048480913736
ENSG00000061455	PRDM6	ENSMUSG00000069378	Prdm6	1.7423452570486697
ENSG00000125347	IRF1	ENSMUSG00000018899	Irf1	661.620622899826
ENSG00000081059	TCF7	ENSMUSG00000000782	Tcf7	1501.7548574697466
ENSG00000069011	PITX1	ENSMUSG00000021506	Pitx1	5.109284736654736
ENSG00000181965	NEUROG1	ENSMUSG00000048904	Neurog1	0.0
ENSG00000113658	SMAD5	ENSMUSG00000021540	Smad5	770.2154146613688
ENSG00000120738	EGR1	ENSMUSG00000038418	Egr1	6.44643985323075
ENSG00000171604	CXXC5	ENSMUSG00000046668	Cxxc5	1246.39927232006
ENSG00000185129	PURA	ENSMUSG00000043991	Pura	695.4320358335107
ENSG00000113580	NR3C1	ENSMUSG00000024431	Nr3c1	156.590403871309
ENSG00000091010	POU4F3	ENSMUSG00000024497	Pou4f3	2.6479138594086233
ENSG00000113722	CDX1	ENSMUSG00000024619	Cdx1	75.2138667871126
ENSG00000113196	HAND1	ENSMUSG00000037335	Hand1	0.29917203812611903
ENSG00000039600	SOX30	ENSMUSG00000040489	Sox30	3.8826255420224762
ENSG00000164330	EBF1	ENSMUSG00000057098	Ebf1	452.19902803982967
ENSG00000168269	FOXI1	ENSMUSG00000047861	Foxi1	0.35330054419869333
ENSG00000164438	TLX3	ENSMUSG00000040610	Tlx3	24.920300033967397
ENSG00000183072	NKX2-5	ENSMUSG00000015579	Nkx2-5	3.2462579356608603
ENSG00000120149	MSX2	ENSMUSG00000021469	Msx2	4.00698753013082
ENSG00000213347	MXD3	ENSMUSG00000021485	Mxd3	135.30092167718968
ENSG00000175325	PROP1	ENSMUSG00000044542	Prop1	0.0
ENSG00000169131	ZNF354A	ENSMUSG00000020364	Zfp354a	59.152312621023405
ENSG00000178338	ZNF354B	ENSMUSG00000020335	Zfp354b	6.829711439557222
ENSG00000198939	ZFP2	ENSMUSG00000049321	Zfp2	228.29420220183033
ENSG00000178187	ZNF454	ENSMUSG00000048728	Zfp454	55.65584173405646
ENSG00000234284	ZNF879	ENSMUSG00000044296	Zfp879	11.167283584306466
ENSG00000177932	ZNF354C	ENSMUSG00000044807	Zfp354c	231.63063225615733
ENSG00000137265	IRF4	ENSMUSG00000021356	Irf4	0.0
ENSG00000164379	FOXQ1	ENSMUSG00000038415	Foxq1	3.338409971842813
ENSG00000137273	FOXF2	ENSMUSG00000038402	Foxf2	0.0
ENSG00000054598	FOXC1	ENSMUSG00000050295	Foxc1	6.185291345214007
ENSG00000124782	RREB1	ENSMUSG00000039087	Rreb1	1256.74966905551
ENSG00000137203	TFAP2A	ENSMUSG00000021359	Tfap2a	39.5197403771668
ENSG00000124827	GCM2	ENSMUSG00000021362	Gcm2	0.69854860041579
ENSG00000095951	HIVEP1	ENSMUSG00000021366	Hivep1	583.3772968456924
ENSG00000112242	E2F3	ENSMUSG00000016477	E2f3	769.3468350100599
ENSG00000124766	SOX4	ENSMUSG00000076431	Sox4	68.91524389195081
ENSG00000181315	ZNF322	ENSMUSG00000046351	Zfp322a	650.7031548157776
ENSG00000197062	ZSCAN26	ENSMUSG00000022228	Zscan26	738.4577994550444
ENSG00000204644	ZFP57	ENSMUSG00000036036	Zfp57	8337.112594378967
ENSG00000204531	POU5F1	ENSMUSG00000024406	Pou5f1	16175.780366555999
ENSG00000212993	POU5F1B	ENSMUSG00000024406	Pou5f1	16175.780366555999
ENSG00000204366	ZBTB12	ENSMUSG00000049823	Zbtb12	717.4212344123899
ENSG00000213676	ATF6B	ENSMUSG00000015461	Atf6b	1084.3181388267838
ENSG00000204304	PBX2	ENSMUSG00000034673	Pbx2	777.9446913622032
ENSG00000204231	RXRB	ENSMUSG00000039656	Rxrb	771.6978793296747
ENSG00000236104	ZBTB22	ENSMUSG00000051390	Zbtb22	481.3043938893223
ENSG00000137309	HMGA1	ENSMUSG00000046711	Hmga1	9735.730338883312
ENSG00000124664	SPDEF	ENSMUSG00000024215	Spdef	3.990882554167623
ENSG00000065029	ZNF76	ENSMUSG00000024220	Zfp523	303.039573647388
ENSG00000112033	PPARD	ENSMUSG00000002250	Ppard	904.1425422812563
ENSG00000007866	TEAD3	ENSMUSG00000002249	Tead3	94.4413546662753
ENSG00000001167	NFYA	ENSMUSG00000023994	Nfya	1503.12931361123
ENSG00000137166	FOXP4	ENSMUSG00000023991	Foxp4	1196.2626858523283
ENSG00000112561	TFEB	ENSMUSG00000023990	Tfeb	721.5700355595071
ENSG00000112658	SRF	ENSMUSG00000015605	Srf	519.0217994844601
ENSG00000096401	CDC5L	ENSMUSG00000023932	Cdc5l	6984.733521898076
ENSG00000124813	RUNX2	ENSMUSG00000039153	Runx2	2.232432321155763
ENSG00000008197	TFAP2D	ENSMUSG00000042596	Tfap2d	0.0
ENSG00000008196	TFAP2B	ENSMUSG00000025927	Tfap2b	0.0
ENSG00000137270	GCM1	ENSMUSG00000023333	Gcm1	2.5857328653544567
ENSG00000112837	TBX18	ENSMUSG00000032419	Tbx18	125.24484349787684
ENSG00000112182	BACH2	ENSMUSG00000040270	Bach2	20.736369319798943
ENSG00000112246	SIM1	ENSMUSG00000019913	Sim1	1.6421407328851199
ENSG00000187772	LIN28B	ENSMUSG00000063804	Lin28b	161.77472674119068
ENSG00000057657	PRDM1	ENSMUSG00000038151	Prdm1	707.8462293229358
ENSG00000112333	NR2E1	ENSMUSG00000019803	Nr2e1	1.25081665857705
ENSG00000118689	FOXO3	ENSMUSG00000048756	Foxo3	2087.4109420455566
ENSG00000185002	RFX6	ENSMUSG00000019900	Rfx6	0.0
ENSG00000025156	HSF2	ENSMUSG00000019878	Hsf2	1031.1235295112085
ENSG00000135547	HEY2	ENSMUSG00000019789	Hey2	11.918519156430266
ENSG00000118526	TCF21	ENSMUSG00000045680	Tcf21	0.0
ENSG00000118513	MYB	ENSMUSG00000019982	Myb	193.863539428148
ENSG00000177468	OLIG3	ENSMUSG00000045591	Olig3	3.8057811063696607
ENSG00000010818	HIVEP2	ENSMUSG00000015501	Hivep2	63.03200765359194
ENSG00000118495	PLAGL1	ENSMUSG00000019817	Plagl1	1021.7352912398736
ENSG00000181472	ZBTB2	ENSMUSG00000075327	Zbtb2	354.157914236466
ENSG00000091831	ESR1	ENSMUSG00000019768	Esr1	2.2024612790279767
ENSG00000112592	TBP	ENSMUSG00000014767	Tbp	883.9954338340773
ENSG00000164853	UNCX	ENSMUSG00000029546	Uncx	0.0
ENSG00000198517	MAFK	ENSMUSG00000018143	Mafk	200.14566128637
ENSG00000164916	FOXK1	ENSMUSG00000056493	Foxk1	420.3119345077184
ENSG00000146587	RBAK	ENSMUSG00000061898	Rbak	270.3429811968867
ENSG00000205903	ZNF316	ENSMUSG00000046658	Zfp316	64.2813827778045
ENSG00000164631	ZNF12	ENSMUSG00000029587	Zfp12	364.03785750150433
ENSG00000006468	ETV1	ENSMUSG00000004151	Etv1	33.76961021455323
ENSG00000106511	MEOX2	ENSMUSG00000036144	Meox2	0.29917203812611903
ENSG00000106546	AHR	ENSMUSG00000019256	Ahr	235.0173097151647
ENSG00000122691	TWIST1	ENSMUSG00000035799	Twist1	24.550250354875065
ENSG00000146618	FERD3L	ENSMUSG00000046518	Ferd3l	0.0
ENSG00000164651	SP8	ENSMUSG00000048562	Sp8	14.63005554425762
ENSG00000105866	SP4	ENSMUSG00000025323	Sp4	134.11948279016067
ENSG00000050344	NFE2L3	ENSMUSG00000029832	Nfe2l3	53.7430584708085
ENSG00000105991	HOXA1	ENSMUSG00000029844	Hoxa1	26.4783412186522
ENSG00000105996	HOXA2	ENSMUSG00000014704	Hoxa2	0.35330054419869333
ENSG00000105997	HOXA3	ENSMUSG00000079560	Hoxa3	1.90328924090186
ENSG00000197576	HOXA4	ENSMUSG00000000942	Hoxa4	2.3487418212825033
ENSG00000106004	HOXA5	ENSMUSG00000038253	Hoxa5	2.310718291173123
ENSG00000106006	HOXA6	ENSMUSG00000043219	Hoxa6	0.69049611243419
ENSG00000122592	HOXA7	ENSMUSG00000038236	Hoxa7	8.87928122271361
