gene_id	rep1	rep2
ENSG00000234619	0	4
ENSG00000224315	2	0
ENSG00000226545	2	8
ENSG00000228423	0	2
ENSG00000229716	2	0
ENSG00000074800	104407	78513
ENSG00000236269	64	40
ENSG00000230679	9	10
ENSG00000238249	1	2
ENSG00000232208	1	0
ENSG00000232663	1	0
ENSG00000131686	2	3
ENSG00000197241	0	4
ENSG00000142583	1	14
ENSG00000180758	201	183
ENSG00000228526	390	234
ENSG00000234546	35	32
ENSG00000281937	0	0
ENSG00000049239	1222	1533
ENSG00000171621	263	285
ENSG00000235263	0	0
ENSG00000171612	1707	1231
ENSG00000231181	11	4
ENSG00000188807	2199	1480
ENSG00000171608	1285	920
ENSG00000179840	0	1
ENSG00000233268	0	0
ENSG00000231789	194	195
ENSG00000171603	8598	7517
ENSG00000271264	0	0
ENSG00000178585	2983	2593
ENSG00000223989	0	0
ENSG00000162441	1202	1071
ENSG00000228150	21	12
ENSG00000173614	355	270
ENSG00000283611	0	0
ENSG00000241326	0	0
ENSG00000162444	33	36
ENSG00000130939	9428	6674
ENSG00000224340	0	0
ENSG00000233623	2	0
ENSG00000054523	11456	9863
ENSG00000142657	22365	15453
ENSG00000271989	4	3
ENSG00000251503	0	3
ENSG00000175279	117	66
ENSG00000241563	7	9
ENSG00000160049	5355	4137
ENSG00000203469	0	0
ENSG00000142655	1159	1046
ENSG00000130940	435	506
ENSG00000272078	72	63
ENSG00000225158	0	0
ENSG00000175262	7	7
ENSG00000215785	0	0
ENSG00000120948	7703	5351
ENSG00000277726	0	0
ENSG00000009724	150	96
ENSG00000271895	44	56
ENSG00000116649	7890	4874
ENSG00000171824	5053	3678
ENSG00000226849	14	6
ENSG00000230337	36	7
ENSG00000198793	10472	7448
ENSG00000225602	2	2
ENSG00000171819	6	2
ENSG00000238173	0	0
ENSG00000120942	2023	1378
ENSG00000238199	1	2
ENSG00000224338	0	0
ENSG00000204624	695	540
ENSG00000235643	9	2
ENSG00000116661	545	595
ENSG00000132879	643	549
ENSG00000116663	64	47
ENSG00000116670	8557	5554
ENSG00000162490	6333	4125
ENSG00000177674	1727	1420
ENSG00000215910	9	13
ENSG00000177553	0	0
ENSG00000177000	1442	1094
ENSG00000011021	2854	2067
ENSG00000242349	47	11
ENSG00000175206	10	4
ENSG00000120937	28	34
ENSG00000224904	0	0
ENSG00000116685	2514	1745
ENSG00000083444	3806	3273
ENSG00000116688	6930	4835
ENSG00000270914	0	2
ENSG00000116691	2370	1718
ENSG00000120949	1872	1185
ENSG00000227875	0	0
ENSG00000028137	143	186
ENSG00000225196	0	0
ENSG00000048707	2867	2495
ENSG00000229484	0	0
ENSG00000162496	750	340
ENSG00000272482	14	9
ENSG00000204518	4	0
ENSG00000226166	0	0
ENSG00000188984	30	32
ENSG00000157330	2	3
ENSG00000116726	0	0
ENSG00000116721	0	0
ENSG00000228338	0	0
ENSG00000239810	0	0
ENSG00000231103	0	0
ENSG00000179172	0	0
ENSG00000120952	0	0
ENSG00000243073	0	0
ENSG00000187545	0	0
ENSG00000204510	0	0
ENSG00000234064	0	0
ENSG00000232423	0	0
ENSG00000274178	0	0
ENSG00000229571	0	0
ENSG00000277862	0	0
ENSG00000236179	0	0
ENSG00000275774	1	0
ENSG00000229978	0	0
ENSG00000233336	0	0
ENSG00000179412	0	0
ENSG00000279169	0	0
ENSG00000250894	0	0
ENSG00000231219	0	0
ENSG00000182330	0	0
ENSG00000204501	0	0
ENSG00000237700	0	0
ENSG00000228229	0	0
ENSG00000204481	0	0
ENSG00000204480	0	0
ENSG00000204479	0	0
ENSG00000204478	0	0
ENSG00000162494	7	6
ENSG00000259961	0	0
ENSG00000215909	0	0
ENSG00000162493	6779	4125
ENSG00000237445	2	0
ENSG00000116731	3047	2815
ENSG00000189337	1121	955
ENSG00000231606	0	0
ENSG00000234593	0	0
ENSG00000235829	2	0
ENSG00000175147	13	20
ENSG00000171729	442	379
ENSG00000204464	0	4
ENSG00000215720	0	0
ENSG00000278480	0	0
ENSG00000142621	94	107
ENSG00000233485	0	1
ENSG00000236045	2	4
ENSG00000228140	14	11
ENSG00000142634	1477	1011
ENSG00000162438	1	5
ENSG00000142615	2	1
ENSG00000215704	1	6
ENSG00000132906	1002	690
ENSG00000116138	1714	1323
ENSG00000272510	1	2
ENSG00000116771	361	213
ENSG00000237301	15	16
ENSG00000235084	4	2
ENSG00000236500	0	1
ENSG00000197312	4696	3272
ENSG00000215695	0	0
ENSG00000271742	0	0
ENSG00000116786	4152	2744
ENSG00000237938	53	37
ENSG00000162461	32	35
ENSG00000224459	0	0
ENSG00000162460	30	20
ENSG00000162458	4393	3012
ENSG00000224321	1	0
ENSG00000233954	32	46
ENSG00000178715	2	0
ENSG00000179743	182	129
ENSG00000065526	7184	6070
ENSG00000270620	0	0
ENSG00000116809	1035	835
ENSG00000234607	0	0
ENSG00000231353	0	0
ENSG00000275503	0	0
ENSG00000224966	0	0
ENSG00000183888	15	8
ENSG00000233078	0	0
ENSG00000173641	20	18
ENSG00000186510	40	37
ENSG00000232456	7	7
ENSG00000184908	87	79
ENSG00000185519	37	59
ENSG00000142627	4039	3247
ENSG00000227959	15	12
ENSG00000224621	2	0
ENSG00000234166	0	0
ENSG00000142632	1066	839
ENSG00000237276	2	6
ENSG00000132881	191	101
ENSG00000233929	0	0
ENSG00000037637	2119	1408
ENSG00000055070	5611	4139
ENSG00000226457	6	0
ENSG00000187144	4	7
ENSG00000157191	1928	1584
ENSG00000226029	26	37
ENSG00000080947	228	162
ENSG00000261135	30	31
ENSG00000224174	6	5
ENSG00000233421	87	80
ENSG00000268991	0	0
ENSG00000225710	0	4
ENSG00000219481	1641	1164
ENSG00000271732	2	1
ENSG00000215908	508	438
ENSG00000186301	29	41
ENSG00000282143	0	0
ENSG00000237847	0	0
ENSG00000280114	12	1
ENSG00000236698	4	6
ENSG00000268869	32	40
ENSG00000279151	1	2
ENSG00000279132	0	0
ENSG00000282740	0	0
ENSG00000058453	3679	2696
ENSG00000227684	3	3
ENSG00000186715	83	74
ENSG00000223643	3	2
ENSG00000230239	0	0
ENSG00000228549	113	102
ENSG00000238142	71	93
ENSG00000235241	23	22
ENSG00000272426	2	4
ENSG00000117122	6872	5185
ENSG00000226526	7	3
ENSG00000159363	3735	2811
ENSG00000117118	3287	2573
ENSG00000117115	217	205
ENSG00000204362	0	0
ENSG00000282843	0	0
ENSG00000142623	12	18
ENSG00000142619	22	43
ENSG00000159339	5	13
ENSG00000276747	0	1
ENSG00000227751	0	0
ENSG00000179051	32952	20584
ENSG00000074964	1956	1476
ENSG00000236648	0	5
ENSG00000117148	49	20
ENSG00000261781	0	0
ENSG00000117154	327	412
ENSG00000280222	12	5
ENSG00000230035	0	0
ENSG00000225387	10	8
ENSG00000179023	2102	1030
ENSG00000235282	0	0
ENSG00000225478	0	0
ENSG00000009709	180	285
ENSG00000179002	0	0
ENSG00000255275	0	0
ENSG00000159423	1024	738
ENSG00000169991	636	439
ENSG00000272084	55	20
ENSG00000127481	16878	11887
ENSG00000230424	9	6
ENSG00000127463	4509	3091
ENSG00000053372	4362	2341
ENSG00000211454	31	15
ENSG00000162482	18	18
ENSG00000270728	56	40
ENSG00000053371	1617	1320
ENSG00000040487	976	694
ENSG00000077549	15013	10801
ENSG00000235185	0	0
ENSG00000173436	678	433
ENSG00000270136	0	0
ENSG00000226396	96	140
ENSG00000158747	69	53
ENSG00000158748	6	25
ENSG00000162542	113	108
ENSG00000178828	0	0
ENSG00000235434	0	0
ENSG00000169914	1303	955
ENSG00000188784	0	0
ENSG00000188257	68	43
ENSG00000127472	4	2
ENSG00000117215	1	0
ENSG00000158786	0	2
ENSG00000227066	0	0
ENSG00000187980	1	3
ENSG00000225986	10	3
ENSG00000162543	185	140
ENSG00000228105	0	0
ENSG00000158816	80	59
ENSG00000226664	1	0
ENSG00000236963	1	0
ENSG00000226487	0	0
ENSG00000162545	676	812
ENSG00000090432	1587	1220
ENSG00000215520	0	0
ENSG00000183114	125	93
ENSG00000158825	580	485
ENSG00000158828	731	489
ENSG00000117242	196	123
ENSG00000244038	10315	7260
ENSG00000117245	402	444
ENSG00000235432	1	2
ENSG00000189410	988	658
ENSG00000233069	1	0
ENSG00000127483	7796	6500
ENSG00000075151	9448	8276
ENSG00000233072	0	0
ENSG00000236073	4	0
ENSG00000235112	2	3
ENSG00000117298	5265	4370
ENSG00000236936	4	6
ENSG00000231105	2	0
ENSG00000236216	0	0
ENSG00000228823	0	0
ENSG00000236009	0	0
ENSG00000227001	11	10
ENSG00000187952	2	0
ENSG00000186543	4	5
ENSG00000142794	1007	815
ENSG00000176378	0	0
ENSG00000162551	12888	9037
ENSG00000233431	4	0
ENSG00000076864	608	568
ENSG00000090686	5038	4057
ENSG00000231978	2	0
ENSG00000187942	30	11
ENSG00000142798	8412	7449
ENSG00000232037	0	0
ENSG00000283234	0	0
ENSG00000219073	2	0
ENSG00000142789	0	0
ENSG00000228397	0	0
ENSG00000218510	617	523
ENSG00000070831	13599	10630
ENSG00000230068	1	1
ENSG00000271428	0	2
ENSG00000271840	0	8
ENSG00000162552	246	161
ENSG00000234397	0	0
ENSG00000279625	0	0
ENSG00000184677	2971	1392
ENSG00000237200	12	2
ENSG00000070886	138	141
ENSG00000173372	2	0
ENSG00000159189	2	0
ENSG00000173369	0	0
ENSG00000133216	1994	1745
ENSG00000225952	0	0
ENSG00000215906	2	0
ENSG00000227868	0	6
ENSG00000004487	18630	15034
ENSG00000240553	6	4
ENSG00000169641	7585	5203
ENSG00000229010	2	4
ENSG00000179546	305	219
ENSG00000215381	0	0
ENSG00000261326	59	66
ENSG00000125944	17429	13455
ENSG00000125945	286	347
ENSG00000249087	60	59
ENSG00000271420	3	1
ENSG00000204219	15	41
ENSG00000232482	0	0
ENSG00000088280	2751	2501
ENSG00000007968	618	547
ENSG00000235052	10	10
ENSG00000117318	11094	9343
ENSG00000197880	0	2
ENSG00000229239	0	0
ENSG00000142676	38591	27216
ENSG00000011007	4731	2996
ENSG00000236810	22	20
ENSG00000057757	2828	1994
ENSG00000011009	6391	4147
ENSG00000117308	1000	737
ENSG00000117305	435	528
ENSG00000179163	360	263
ENSG00000188822	5	7
ENSG00000229106	0	0
ENSG00000232557	0	0
ENSG00000230228	2	0
ENSG00000189266	8408	6792
ENSG00000188529	13678	9394
ENSG00000215905	1	2
ENSG00000225315	0	0
ENSG00000142661	16	17
ENSG00000230703	0	0
ENSG00000142677	15	16
ENSG00000185436	578	372
ENSG00000230023	0	0
ENSG00000232298	0	1
ENSG00000158055	142	88
ENSG00000001460	523	530
ENSG00000001461	496	430
ENSG00000117602	1187	988
ENSG00000264443	0	0
ENSG00000184454	9	16
ENSG00000227312	0	0
ENSG00000133226	12013	9488
ENSG00000169504	30069	23015
ENSG00000020633	40	27
ENSG00000229162	0	0
ENSG00000261025	0	0
ENSG00000233755	0	0
ENSG00000233419	0	0
ENSG00000231953	0	2
ENSG00000117614	1995	1387
ENSG00000117616	1415	983
ENSG00000272432	3	6
ENSG00000261349	8	16
ENSG00000187010	38	21
ENSG00000224183	5	8
ENSG00000259984	1	2
ENSG00000183726	4867	3699
ENSG00000188672	8	20
ENSG00000238084	0	0
ENSG00000204178	2086	1390
ENSG00000157978	1219	997
ENSG00000225643	7	7
ENSG00000117643	562	544
ENSG00000233478	6	5
ENSG00000162430	6908	6509
ENSG00000255054	0	0
ENSG00000228172	12	13
ENSG00000117640	1202	928
ENSG00000272478	0	0
ENSG00000127423	1088	909
ENSG00000236528	2	0
ENSG00000182749	298	288
ENSG00000117632	25312	23363
ENSG00000229786	7	4
ENSG00000223624	0	0
ENSG00000158006	763	568
ENSG00000158008	71	82
ENSG00000158014	8	26
ENSG00000158022	6	4
ENSG00000175087	517	487
ENSG00000197245	102	103
ENSG00000282872	6	3
ENSG00000236782	9	11
ENSG00000142684	2	1
ENSG00000142675	398	282
ENSG00000188782	10	15
ENSG00000236155	41	46
ENSG00000278572	1	0
ENSG00000130695	3334	2533
ENSG00000270733	6	7
ENSG00000142669	3763	3424
ENSG00000158062	590	388
ENSG00000169442	17	29
ENSG00000176092	561	524
ENSG00000225854	4	2
ENSG00000176083	1	0
ENSG00000131914	83369	57819
ENSG00000117682	2271	1654
ENSG00000223583	7	13
ENSG00000225891	9	5
ENSG00000198830	37997	25276
ENSG00000224129	0	0
ENSG00000117676	3232	2411
ENSG00000229247	0	0
ENSG00000235069	0	0
ENSG00000260063	15	20
ENSG00000117713	17165	13042
ENSG00000060642	459	475
ENSG00000204160	2590	2092
ENSG00000175793	198	149
ENSG00000226698	0	0
ENSG00000142751	1525	1012
ENSG00000198746	680	527
ENSG00000090273	8485	5574
ENSG00000131910	2	1
ENSG00000175707	511	444
ENSG00000172746	0	0
ENSG00000224064	0	0
ENSG00000225294	1	0
ENSG00000253368	1464	1087
ENSG00000158246	5182	3202
ENSG00000090020	2056	1556
ENSG00000229985	1	0
ENSG00000214973	0	1
ENSG00000225159	7	2
ENSG00000225990	0	0
ENSG00000224311	0	0
ENSG00000142784	2759	2407
ENSG00000243659	0	0
ENSG00000186501	1392	851
ENSG00000241547	15	14
ENSG00000142765	367	290
ENSG00000142733	453	548
ENSG00000142748	4	6
ENSG00000174950	29	28
ENSG00000231207	0	0
ENSG00000181773	588	519
ENSG00000158195	9164	8159
ENSG00000241169	0	0
ENSG00000237429	1	4
ENSG00000126705	3803	3341
ENSG00000000938	13	20
ENSG00000235912	0	0
ENSG00000233975	0	0
ENSG00000126709	286	307
ENSG00000225886	0	6
ENSG00000226662	0	0
ENSG00000009780	746	596
ENSG00000231344	2	0
ENSG00000230833	0	0
ENSG00000117758	1041	923
ENSG00000269971	0	0
ENSG00000270031	3	3
ENSG00000117751	3120	2041
ENSG00000130775	456	387
ENSG00000117748	4631	3024
ENSG00000130768	2025	998
ENSG00000227050	13	0
ENSG00000158156	1046	779
ENSG00000158161	3704	2491
ENSG00000238231	6	2
ENSG00000228589	28	16
ENSG00000228943	0	0
ENSG00000214812	0	0
ENSG00000169403	168	103
ENSG00000126698	7435	5617
ENSG00000130770	5739	4370
ENSG00000270605	41	40
ENSG00000271398	4	5
ENSG00000130766	1873	1397
ENSG00000130772	595	652
ENSG00000204138	5752	4607
ENSG00000229820	0	4
ENSG00000180198	6802	4190
ENSG00000242125	29371	24680
ENSG00000231468	24	18
ENSG00000279443	50	25
ENSG00000180098	1087	722
ENSG00000197989	11711	9166
ENSG00000120656	1148	954
ENSG00000188060	356	318
ENSG00000229388	10	3
ENSG00000270103	1809	1188
ENSG00000162419	1911	1565
ENSG00000198492	12290	8851
ENSG00000116329	216	184
ENSG00000233427	0	0
ENSG00000159023	8416	6337
ENSG00000225616	80	39
ENSG00000253304	298	260
ENSG00000225750	1	0
ENSG00000116350	5307	4528
ENSG00000116353	1082	859
ENSG00000237934	8	12
ENSG00000060656	2257	2248
ENSG00000230523	0	2
ENSG00000225011	0	0
ENSG00000228176	0	0
ENSG00000270927	0	0
ENSG00000233399	0	0
ENSG00000233372	0	0
ENSG00000231251	0	0
ENSG00000236335	0	0
ENSG00000231949	0	0
ENSG00000162510	3	10
ENSG00000186056	0	0
ENSG00000162511	26	44
ENSG00000229607	0	0
ENSG00000223382	3	1
ENSG00000235143	2	2
ENSG00000162512	5363	6374
ENSG00000134644	10357	7957
ENSG00000237329	2	2
ENSG00000232768	10	2
ENSG00000215900	0	0
ENSG00000225142	0	0
ENSG00000084628	3535	2748
ENSG00000060688	5271	3306
ENSG00000229447	9	8
ENSG00000121766	2135	1586
ENSG00000229044	2	0
ENSG00000121769	798	521
ENSG00000168528	1017	1099
ENSG00000215899	3	1
ENSG00000229167	0	0
ENSG00000142910	198	136
ENSG00000121764	8	9
ENSG00000162517	2125	1438
ENSG00000235790	9	3
ENSG00000264078	0	4
ENSG00000084636	449	298
ENSG00000121753	1511	1346
ENSG00000254545	0	0
ENSG00000134668	55	60
ENSG00000203620	107	78
ENSG00000269967	2	0
ENSG00000184007	11242	9043
ENSG00000228634	10	2
ENSG00000121774	23938	20020
ENSG00000203325	7	21
ENSG00000121775	1428	1079
ENSG00000025800	8222	5801
ENSG00000250135	0	0
ENSG00000084652	6622	4267
ENSG00000160050	460	402
ENSG00000224066	3	5
ENSG00000160051	236	159
ENSG00000222046	12	26
ENSG00000160055	296	170
ENSG00000084623	12338	8757
ENSG00000220785	552	449
ENSG00000183615	41	39
ENSG00000182866	1842	1309
ENSG00000116478	6351	4990
ENSG00000175130	37251	27822
ENSG00000233775	0	0
ENSG00000162526	12	9
ENSG00000225828	76	64
ENSG00000160058	2616	1830
ENSG00000224333	0	0
ENSG00000270850	2	0
ENSG00000229259	23	17
ENSG00000254553	0	0
ENSG00000273274	510	387
ENSG00000160062	982	822
ENSG00000176261	1383	1109
ENSG00000162521	20081	14071
ENSG00000162520	2	1
ENSG00000224409	3	2
ENSG00000162522	6829	5459
ENSG00000134684	12669	8564
ENSG00000116497	3013	2152
ENSG00000160097	238	233
ENSG00000121905	16	19
ENSG00000121900	120	111
ENSG00000116514	971	733
ENSG00000278966	4	9
ENSG00000217644	0	0
ENSG00000239670	0	1
ENSG00000236065	0	0
ENSG00000004455	5047	3399
ENSG00000142920	64	59
ENSG00000278997	10	13
ENSG00000116525	802	916
ENSG00000279179	23	24
ENSG00000160094	1486	1401
ENSG00000270115	36	12
ENSG00000184389	0	0
ENSG00000225313	85	39
ENSG00000134686	3386	3175
ENSG00000233246	4	6
ENSG00000234512	0	0
ENSG00000121903	300	217
ENSG00000235907	0	1
ENSG00000121904	1404	959
ENSG00000227000	4	4
ENSG00000176256	0	2
ENSG00000231163	2	2
ENSG00000142698	499	331
ENSG00000270241	0	0
ENSG00000163866	1553	1153
ENSG00000189280	4	6
ENSG00000189433	5	4
ENSG00000255811	0	0
ENSG00000188910	24	27
ENSG00000187513	312	643
ENSG00000230163	27	13
ENSG00000116544	669	457
ENSG00000241014	57	67
ENSG00000271741	0	0
ENSG00000243749	4	0
ENSG00000163867	548	484
ENSG00000233940	0	0
ENSG00000197056	1890	1785
ENSG00000228348	0	0
ENSG00000116560	33711	21843
ENSG00000146463	9676	6791
ENSG00000229994	2	0
ENSG00000227409	3	3
ENSG00000142687	4990	4177
ENSG00000236274	4	2
ENSG00000020129	4028	1973
ENSG00000239636	9	13
ENSG00000116819	31	11
ENSG00000126067	7965	5777
ENSG00000142686	1127	691
ENSG00000092853	3786	2415
ENSG00000232335	3	0
ENSG00000134698	1228	1372
ENSG00000092847	9384	6952
ENSG00000271164	0	0
ENSG00000271914	0	0
ENSG00000126070	1442	1147
ENSG00000271554	0	1
ENSG00000232862	0	0
ENSG00000092850	84	86
ENSG00000116863	1304	880
ENSG00000171812	97	126
ENSG00000054116	2256	1582
ENSG00000116871	5993	4945
ENSG00000054118	18895	13510
ENSG00000231849	0	1
ENSG00000214193	493	458
ENSG00000142694	356	473
ENSG00000116883	154	190
ENSG00000196182	2796	2474
ENSG00000181817	1214	977
ENSG00000116885	142	141
ENSG00000116898	5227	3799
ENSG00000119535	5	8
ENSG00000230214	0	0
ENSG00000234481	0	0
ENSG00000163873	333	366
ENSG00000223944	0	0
ENSG00000230451	0	0
ENSG00000233621	14	18
ENSG00000163874	381	294
ENSG00000163875	2470	1927
ENSG00000163877	1078	986
ENSG00000232273	2	3
ENSG00000237749	4	3
ENSG00000163879	364	425
ENSG00000134697	6616	4965
ENSG00000169218	42	48
ENSG00000116922	1871	1276
ENSG00000134690	3607	2712
ENSG00000183317	48	11
ENSG00000214141	2	0
ENSG00000227416	0	0
ENSG00000185090	154	94
ENSG00000233728	0	0
ENSG00000196449	1104	713
ENSG00000197982	1456	971
ENSG00000188786	1278	1008
ENSG00000235673	2	0
ENSG00000230955	0	0
ENSG00000204084	1569	1230
ENSG00000183431	11316	7162
ENSG00000183386	1192	875
ENSG00000183520	3346	2415
ENSG00000185668	724	615
ENSG00000224592	23	20
ENSG00000223589	0	0
ENSG00000237290	4	8
ENSG00000275350	1	1
ENSG00000238063	2	2
ENSG00000215895	1	4
ENSG00000116954	978	646
ENSG00000273637	0	0
ENSG00000228436	6	6
ENSG00000214114	1225	840
ENSG00000274944	0	0
ENSG00000131233	0	0
ENSG00000158315	6	10
ENSG00000235549	0	0
ENSG00000174574	15938	11069
ENSG00000168653	7606	5601
ENSG00000127603	22895	17794
ENSG00000270040	0	0
ENSG00000226438	5	0
ENSG00000217897	8	0
ENSG00000183682	18	2
ENSG00000237624	10	2
ENSG00000182109	106	64
ENSG00000243970	10	6
ENSG00000090621	11629	8162
ENSG00000228060	16	18
ENSG00000163909	242	353
ENSG00000225903	0	0
ENSG00000116981	0	0
ENSG00000116983	47	53
ENSG00000084072	1564	1221
ENSG00000225333	0	0
ENSG00000116985	120	106
ENSG00000198754	19	14
ENSG00000261798	2	4
ENSG00000229213	0	0
ENSG00000043514	1917	1597
ENSG00000116990	2218	1994
ENSG00000236546	4	7
ENSG00000168389	1277	923
ENSG00000228477	20	8
ENSG00000131236	16948	12348
ENSG00000131238	10603	7124
ENSG00000226745	0	0
ENSG00000117000	3101	2645
ENSG00000188800	1	0
ENSG00000259943	211	206
